star_ID,Period(yrs),Radius(REarth),a(AU),BBtemp(K),planet_type
5135,11.4052,4.57187,4.93429,117.159,11
794,5.11375,4.59958,3.02736,168.877,11
2158,11.1556,4.96866,5.09016,130.106,11
261,14.8458,4.13936,6.05863,114.246,11
1807,5.39498,5.64888,3.19702,172.666,11
2822,6.37643,5.50672,3.07637,118.761,11
2537,12.3373,5.03648,6.18063,164.784,11
553,5.91821,4.69465,3.68801,198.933,11
6453,8.78380,4.83105,4.03641,120.753,11
3739,4.17858,3.83585,2.55545,167.753,11
3258,14.8913,5.59112,6.17210,118.206,11
2335,6.97641,5.81962,3.75077,154.616,11
7295,18.1540,5.36015,7.60352,130.185,11
493,15.3721,5.73992,7.03872,147.824,11
3277,13.7986,4.31967,6.14166,133.660,11
4930,14.6844,4.72886,5.99724,113.960,11
918,13.4392,4.11173,6.02983,134.617,11
2295,10.1058,5.64176,4.80446,136.805,11
6813,8.57445,5.13636,4.27953,142.630,11
6091,9.41025,4.54644,4.29300,122.017,11
3246,2.13218,5.02196,1.33900,137.903,11
6290,10.8484,5.20866,4.92692,127.478,11
5157,12.9424,3.67017,6.23140,154.196,11
3625,16.3706,4.49498,7.56785,154.457,11
4843,14.6756,4.46650,6.95794,156.436,11
2656,13.5341,4.76436,6.22774,142.415,11
7329,12.1175,4.84096,5.62688,139.299,11
127,3.47128,3.97388,2.34723,193.721,11
4228,9.44179,5.73225,4.82332,155.371,11
6654,0.448059,5.91247,0.458912,217.242,11
6457,13.7268,5.84833,5.74753,117.153,11
2715,16.7995,4.23554,7.37410,139.707,11
3195,0.755578,6.60146,0.858070,329.118,12
1083,0.427228,13.0995,0.614207,438.650,12
3062,0.505523,8.72888,0.779690,542.489,12
6918,0.518503,13.3736,0.728752,449.543,12
6057,0.0996058,12.7277,0.150387,281.954,12
3812,0.595609,7.53039,0.703139,326.877,12
6839,0.913140,13.7451,1.06828,376.372,12
1271,0.423554,10.8584,0.634016,476.405,12
1934,0.0814328,8.05005,0.145012,371.271,12
5737,0.0494845,13.4551,0.129318,695.913,12
626,0.140584,10.6028,0.255479,475.718,12
6477,0.406388,9.70277,0.661320,560.185,12
3062,0.808717,10.6520,1.06649,463.845,12
2859,1.32029,11.2960,1.15935,234.901,13
6383,1.44348,6.47853,1.36094,282.516,13
3812,1.62931,7.96045,1.37532,233.724,13
161,2.44231,11.2427,2.05131,269.167,13
295,1.89370,7.30152,1.62061,254.609,13
7401,1.15693,11.8707,1.04358,236.692,13
6477,4.82906,9.22552,3.44370,245.485,13
958,2.12270,11.0928,1.81668,265.775,13
1277,0.602491,10.1721,0.636577,259.343,13
1934,0.265206,11.3810,0.318611,250.474,13
7204,0.850139,7.37475,0.927529,315.913,13
1137,0.841286,7.41051,0.892463,296.454,13
807,0.936329,10.6226,0.887115,242.696,13
5236,1.54277,7.24041,1.37846,258.397,13
794,1.42594,12.7267,1.29213,258.494,13
286,2.41602,10.2677,2.06665,278.688,13
7495,0.0978745,7.13166,0.150210,290.012,13
2121,3.35378,13.2653,2.48818,232.899,13
1277,0.832866,12.4354,0.789952,232.809,13
1896,2.10964,7.52681,1.74157,245.605,13
1083,2.74967,14.1527,2.12518,235.819,13
3760,3.20283,9.84157,2.46954,248.445,13
1215,0.804231,13.8231,0.781708,242.051,13
7441,1.70131,9.56014,1.60072,299.157,13
6700,0.947074,8.81561,1.00185,308.061,13
5637,2.24981,10.1275,1.89230,261.790,13
2948,0.814635,11.7526,0.894949,315.494,13
794,2.15193,7.34054,1.70003,225.359,13
3997,2.21320,11.4959,1.74057,225.573,13
5749,2.81733,8.84226,2.13206,227.555,13
1290,8.42167,9.89925,4.85074,192.088,14
610,1.09354,10.9774,0.991003,234.046,14
3500,0.997508,14.1297,0.700437,131.495,14
2105,4.78217,9.41821,2.80924,161.999,14
2129,10.6189,9.02434,5.37221,159.052,14
